CustomerID,Recency,Frequency,Monetary,TicketMedio,ProdutosDistintos,TempoCliente,ProbabilidadeRecompra,Propensao
18118.0,14,23,4969.35,216.05869565217392,406,339,0.9897056495481227,Alta
15358.0,4,20,7517.14,375.857,285,335,0.9822258602034282,Alta
14667.0,0,22,8073.52,366.9781818181818,311,337,0.9820455294595799,Alta
13199.0,1,29,7686.38,265.04758620689654,42,336,0.9802203575764906,Alta
18229.0,1,18,6591.2,366.17777777777775,62,342,0.9775432525395138,Alta
13113.0,9,22,11569.800000000001,525.9,95,335,0.976868338453189,Alta
17068.0,19,19,4242.36,223.2821052631579,111,337,0.9753257162860633,Alta
13089.0,1,87,50713.66,582.9156321839081,625,339,0.9740396238439893,Alta
16713.0,36,13,5290.76,406.9815384615385,310,335,0.9731649115197875,Alta
16931.0,9,19,3848.5,202.55263157894737,407,339,0.9728990741271332,Alta
17428.0,7,25,16235.45,649.418,251,338,0.9726765236168943,Alta
13468.0,8,33,5163.22,156.46121212121213,170,342,0.9722806734201398,Alta
14180.0,27,23,4408.62,191.6791304347826,108,341,0.9713913209284061,Alta
17677.0,5,27,15000.38,555.5696296296296,174,338,0.970546979097291,Alta
14527.0,1,49,6971.04,142.2661224489796,297,338,0.9696720885194412,Alta
16701.0,14,12,4899.86,408.32166666666666,91,331,0.9683912899658093,Alta
13488.0,12,12,8246.17,687.1808333333333,262,336,0.9652309877379939,Alta
14135.0,1,13,4247.41,326.7238461538461,88,342,0.9639990031767752,Alta
14060.0,26,17,5430.38,319.4341176470588,83,342,0.9625059255133271,Alta
17315.0,7,35,5534.7300000000005,158.13514285714285,249,327,0.9613972017333154,Alta
16161.0,28,15,4258.99,283.93266666666665,239,338,0.9601987920493023,Alta
14606.0,1,84,10837.45,129.0172619047619,764,342,0.9588116718394779,Alta
14952.0,29,11,8099.49,736.3172727272727,117,334,0.9587709286974833,Alta
15301.0,20,12,5049.95,420.82916666666665,167,338,0.958656768943619,Alta
14688.0,9,19,4949.83,260.51736842105265,117,343,0.9583639107889039,Alta
16746.0,5,15,5613.31,374.2206666666667,206,328,0.9580615123210526,Alta
17450.0,5,37,174028.76,4703.4800000000005,122,337,0.9578818276511735,Alta
